RAL,RGB,HEX,CMYK,LRV,English,German,French,Spanish,Italian,Dutch
RAL 1000,205-186-136,#CDBA88,0-9-34-20,51.79,Green beige,Grünbeige,Beige vert,Beige verdoso,Beige verdastro,Groenbeige
RAL 1001,208-176-132,#D0B084,0-15-37-18,48.09,Beige,Beige,Beige,Beige,Beige,Beige
RAL 1002,210-170-109,#D2AA6D,0-19-48-18,45.07,Sand yellow,Sandgelb,Jaune sable,Amarillo arena,Giallo sabbia,Zandgeel
RAL 1003,249-169-0,#F9A900,0-32-100-2,49.05,Signal yellow,Signalgelb,Jaune de sécurité,Amarillo señales,Giallo segnale,Signaalgeel
RAL 1004,228-158-0,#E49E00,0-31-100-11,42.13,Golden yellow,Goldgelb,Jaune or,Amarillo oro,Giallo oro,Goudgeel
RAL 1005,203-143-0,#CB8F00,0-30-100-20,34.15,Honey yellow,Honiggelb,Jaune miel,Amarillo miel,Giallo miele,Honinggeel
RAL 1006,225-144-0,#E19000,0-36-100-12,37.45,Maize yellow,Maisgelb,Jaune maïs,Amarillo maíz,Giallo polenta,Maisgeel
RAL 1007,232-140-0,#E88C00,0-40-100-9,37.63,Daffodil yellow,Narzissengelb,Jaune narcisse,Amarillo narciso,Giallo narciso,Narcissengeel
RAL 1011,175-128-80,#AF8050,0-27-54-31,27.65,Brown beige,Braunbeige,Beige brun,Beige pardo,Beige marrone,Bruinbeige
RAL 1012,221-175-40,#DDAF28,0-21-82-13,47.83,Lemon yellow,Zitronengelb,Jaune citron,Amarillo limón,Giallo limone,Citroengeel
RAL 1013,227-217-199,#E3D9C7,0-4-12-11,70.76,Oyster white,Perlweiß,Blanc perlé,Blanco perla,Bianco perla,Parelwit
RAL 1014,221-196-155,#DDC49B,0-11-30-13,58.34,Ivory,Elfenbein,Ivoire,Marfil,Avorio,Ivoorkleurig
RAL 1015,230-210-181,#E6D2B5,0-9-21-10,67.55,Light ivory,Hellelfenbein,Ivoire clair,Marfil claro,Avorio chiaro,Licht ivoorkleurig
RAL 1016,241-221-57,#F1DD39,0-8-76-5,71.30,Sulfur yellow,Schwefelgelb,Jaune soufre,Amarillo azufre,Giallo zolfo,Zwavelgeel
RAL 1017,246-169-81,#F6A951,0-31-67-4,49.80,Saffron yellow,Safrangelb,Jaune safran,Amarillo azafrán,Giallo zafferano,Saffraangeel
